FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,village,barrage_nom_officiel,barrage_type,barrage_utilisation,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48cd,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9690213990363795,6.370711337341512,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48ce,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9691813364036661,6.3709663529934195,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48cf,Maritime,Avé,Avé 2,Badja,Sanvicope,Citerne,Retenue d'eau,{autre},0.9692989298730101,6.371065116661457,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d0,Maritime,Avé,Avé 2,Badja,Bagbé,Barrage Bamezon,Retenue d'eau,{elevage},1.0052165869292677,6.332618823712882,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d1,Maritime,Avé,Avé 2,Badja,Badja,Barrage de Badja Bas,Retenue d'eau,{irrigation},0.995521768077619,6.356346228891532,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d2,Maritime,Avé,Avé 2,Badja,Bagbe-route,Dam,Retenue d'eau,{eau potable},1.0067981683944562,6.338569687852045,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d3,Maritime,Avé,Avé 2,Badja,Adjeh Kpe Kope,Barrage Adjeh Kpe 1,Retenue d'eau,"{elevage,eau potable}",1.0207692115241083,6.382102767480445,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d4,Maritime,Avé,Avé 2,Badja,Adjeh Kpe Kope,Barrage Adjeh Kpe 2,Barrage paysan,{autre},1.0208013366314643,6.383403799481842,maritime,ave,badja,retenues_eau,ave
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d5,Maritime,Zio,Zio 1,Djagblé,Djagble,N/a,Mare naturelle,{autre},1.275288100274723,6.2492714105976805,maritime,zio,djagble,retenues_eau,zio
_mview_general_retenues_eau_collinaires.fid-54b5a690_19f1563616b_48d6,Maritime,Avé,Avé 2,Badja,Badja,Barrage Adjeh Kpe 3,Barrage paysan,"{elevage,irrigation,eau potable}",1.0216815296910138,6.383474868515256,maritime,ave,badja,retenues_eau,ave
